Date,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60,predict
2020-02-10,205.0330104607969,205.88681918914511,203.796458339579,205.35687255859366,2338300,207.25263671875,206.15035552978514,203.0954475402832,199.30777435302738,193.2962659200033,1912220.0,2026330.0,1766425.0,1626613.333333333,1533566.666666667,206.2695617675781,208.7230529785156,208.8997344970703,207.0139617919922,202.24581909179688,206.63042602539062,206.0640838623047,206.23621215820316,206.43748779296874,205.0480743408203,205.41617431640626,205.09880523681642,204.60936737060547,203.56779937744145,202.8594146728516,202.47871322631835,201.85298385620118,201.07184906005855,200.23693389892574,199.45820083618165,198.7956527709961,198.26809031168617,197.6385518391927,197.0128941853841,196.3631362915039,193.0167549133301,192.7378288269043,192.441786702474,192.14507980346679,191.8371365865072,1838920.0,1819580.0,2002640.0,2359360.0,2140440.0,1923910.0,1810850.0,1840820.0,1844620.0,1735020.0,1722480.0,1700080.0,1706670.0,1710125.0,1686405.0,1571793.333333333,1509336.666666667,1539746.666666667,1566526.666666667,1536100.0,1515980.0,1493033.333333333,1491261.666666667,1501260.0,1490760.0,0
2020-02-11,206.71122457375455,209.34135587042167,205.18025083690068,205.27838134765625,1425200,206.9055206298828,206.67150421142574,203.57488632202148,199.79285278320316,193.60915476481117,1687020.0,2023190.0,1766765.0,1657760.0,1541595.0,205.35687255859366,206.2695617675781,208.7230529785156,208.8997344970703,207.0139617919922,207.25263671875,206.63042602539062,206.0640838623047,206.23621215820316,206.43748779296874,206.15035552978514,205.41617431640626,205.09880523681642,204.60936737060547,203.56779937744145,203.0954475402832,202.47871322631835,201.85298385620118,201.07184906005855,200.23693389892574,199.30777435302738,198.7956527709961,198.26809031168617,197.6385518391927,197.0128941853841,193.2962659200033,193.0167549133301,192.7378288269043,192.441786702474,192.14507980346679,1912220.0,1838920.0,1819580.0,2002640.0,2359360.0,2026330.0,1923910.0,1810850.0,1840820.0,1844620.0,1766425.0,1722480.0,1700080.0,1706670.0,1710125.0,1626613.333333333,1571793.333333333,1509336.666666667,1539746.666666667,1566526.666666667,1533566.666666667,1515980.0,1493033.333333333,1491261.666666667,1501260.0,1
2020-02-12,206.84861584065385,208.77214153844875,205.97517494244224,206.99581909179688,891700,206.52473754882809,206.38047485351564,204.07082443237306,200.3869644165039,193.94936472574867,1583400.0,1793020.0,1745555.0,1662310.0,1545476.666666667,205.27838134765625,205.35687255859366,206.2695617675781,208.7230529785156,208.8997344970703,206.9055206298828,207.25263671875,206.63042602539062,206.0640838623047,206.23621215820316,206.67150421142574,206.15035552978514,205.41617431640626,205.09880523681642,204.60936737060547,203.57488632202148,203.0954475402832,202.47871322631835,201.85298385620118,201.07184906005855,199.79285278320316,199.30777435302738,198.7956527709961,198.26809031168617,197.6385518391927,193.60915476481117,193.2962659200033,193.0167549133301,192.7378288269043,192.441786702474,1687020.0,1912220.0,1838920.0,1819580.0,2002640.0,2023190.0,2026330.0,1923910.0,1810850.0,1840820.0,1766765.0,1766425.0,1722480.0,1700080.0,1706670.0,1657760.0,1626613.333333333,1571793.333333333,1509336.666666667,1539746.666666667,1541595.0,1533566.666666667,1515980.0,1493033.333333333,1491261.666666667,1
2020-02-13,205.7985116490428,207.44726290094903,205.11153820028937,206.5738220214844,848600,206.09489135742191,206.07948760986332,204.48752670288087,200.9500732421875,194.28075002034504,1552760.0,1686170.0,1708755.0,1663906.666666667,1543555.0,206.99581909179688,205.27838134765625,205.35687255859366,206.2695617675781,208.7230529785156,206.52473754882809,206.9055206298828,207.25263671875,206.63042602539062,206.0640838623047,206.38047485351564,206.67150421142574,206.15035552978514,205.41617431640626,205.09880523681642,204.07082443237306,203.57488632202148,203.0954475402832,202.47871322631835,201.85298385620118,200.3869644165039,199.79285278320316,199.30777435302738,198.7956527709961,198.26809031168617,193.94936472574867,193.60915476481117,193.2962659200033,193.0167549133301,192.7378288269043,1583400.0,1687020.0,1912220.0,1838920.0,1819580.0,1793020.0,2023190.0,2026330.0,1923910.0,1810850.0,1745555.0,1766765.0,1766425.0,1722480.0,1700080.0,1662310.0,1657760.0,1626613.333333333,1571793.333333333,1509336.666666667,1545476.666666667,1541595.0,1533566.666666667,1515980.0,1493033.333333333,1
2020-02-14,206.52474921671106,207.2804274975553,204.90543861490184,205.4550323486328,711400,205.9319854736328,206.28120574951168,204.68414001464845,201.3889287312826,194.5560345967611,1243040.0,1540980.0,1651770.0,1638993.333333333,1534328.333333333,206.5738220214844,206.99581909179688,205.27838134765625,205.35687255859366,206.2695617675781,206.09489135742191,206.52473754882809,206.9055206298828,207.25263671875,206.63042602539062,206.07948760986332,206.38047485351564,206.67150421142574,206.15035552978514,205.41617431640626,204.48752670288087,204.07082443237306,203.57488632202148,203.0954475402832,202.47871322631835,200.9500732421875,200.3869644165039,199.79285278320316,199.30777435302738,198.7956527709961,194.28075002034504,193.94936472574867,193.60915476481117,193.2962659200033,193.0167549133301,1552760.0,1583400.0,1687020.0,1912220.0,1838920.0,1686170.0,1793020.0,2023190.0,2026330.0,1923910.0,1708755.0,1745555.0,1766765.0,1766425.0,1722480.0,1663906.666666667,1662310.0,1657760.0,1626613.333333333,1571793.333333333,1543555.0,1545476.666666667,1541595.0,1533566.666666667,1515980.0,1
2020-02-18,204.72879969593856,206.47568149680848,203.17819388872508,204.1497802734375,977600,205.6905670166016,206.47160186767582,204.66550827026367,201.796001180013,194.82210388183597,970900.0,1441560.0,1588290.0,1604790.0,1532335.0,205.4550323486328,206.5738220214844,206.99581909179688,205.27838134765625,205.35687255859366,205.9319854736328,206.09489135742191,206.52473754882809,206.9055206298828,207.25263671875,206.28120574951168,206.07948760986332,206.38047485351564,206.67150421142574,206.15035552978514,204.68414001464845,204.48752670288087,204.07082443237306,203.57488632202148,203.0954475402832,201.3889287312826,200.9500732421875,200.3869644165039,199.79285278320316,199.30777435302738,194.5560345967611,194.28075002034504,193.94936472574867,193.60915476481117,193.2962659200033,1243040.0,1552760.0,1583400.0,1687020.0,1912220.0,1540980.0,1686170.0,1793020.0,2023190.0,2026330.0,1651770.0,1708755.0,1745555.0,1766765.0,1766425.0,1638993.333333333,1663906.666666667,1662310.0,1657760.0,1626613.333333333,1534328.333333333,1543555.0,1545476.666666667,1541595.0,1533566.666666667,1
2020-02-19,204.78768386918262,206.53456569455682,204.3754997842527,205.27838134765625,703400,205.6905670166016,206.29804382324215,204.93292160034176,202.25730387369788,195.15127716064453,826540.0,1256780.0,1550700.0,1559010.0,1522411.666666667,204.1497802734375,205.4550323486328,206.5738220214844,206.99581909179688,205.27838134765625,205.6905670166016,205.9319854736328,206.09489135742191,206.52473754882809,206.9055206298828,206.47160186767582,206.28120574951168,206.07948760986332,206.38047485351564,206.67150421142574,204.66550827026367,204.68414001464845,204.48752670288087,204.07082443237306,203.57488632202148,201.796001180013,201.3889287312826,200.9500732421875,200.3869644165039,199.79285278320316,194.82210388183597,194.5560345967611,194.28075002034504,193.94936472574867,193.60915476481117,970900.0,1243040.0,1552760.0,1583400.0,1687020.0,1441560.0,1540980.0,1686170.0,1793020.0,2023190.0,1588290.0,1651770.0,1708755.0,1745555.0,1766765.0,1604790.0,1638993.333333333,1663906.666666667,1662310.0,1657760.0,1532335.0,1534328.333333333,1543555.0,1545476.666666667,1541595.0,1
2020-02-20,205.2587439785546,207.16265254206849,204.26754048848443,206.8878631591797,949100,205.6689758300781,206.09685668945312,205.3531120300293,202.74685160319007,195.49538752237962,838020.0,1210710.0,1525765.0,1541350.0,1522070.0,205.27838134765625,204.1497802734375,205.4550323486328,206.5738220214844,206.99581909179688,205.6905670166016,205.6905670166016,205.9319854736328,206.09489135742191,206.52473754882809,206.29804382324215,206.47160186767582,206.28120574951168,206.07948760986332,206.38047485351564,204.93292160034176,204.66550827026367,204.68414001464845,204.48752670288087,204.07082443237306,202.25730387369788,201.796001180013,201.3889287312826,200.9500732421875,200.3869644165039,195.15127716064453,194.82210388183597,194.5560345967611,194.28075002034504,193.94936472574867,826540.0,970900.0,1243040.0,1552760.0,1583400.0,1256780.0,1441560.0,1540980.0,1686170.0,1793020.0,1550700.0,1588290.0,1651770.0,1708755.0,1745555.0,1559010.0,1604790.0,1638993.333333333,1663906.666666667,1662310.0,1522411.666666667,1532335.0,1534328.333333333,1543555.0,1545476.666666667,0
2020-02-21,206.86821149327858,207.67296244909008,202.9524556701813,204.17919921875,1363400,205.19005126953124,205.64247131347656,205.3706382751465,203.11614634195962,195.75250244140625,940980.0,1246870.0,1528860.0,1549010.0,1527420.0,206.8878631591797,205.27838134765625,204.1497802734375,205.4550323486328,206.5738220214844,205.6689758300781,205.6905670166016,205.6905670166016,205.9319854736328,206.09489135742191,206.09685668945312,206.29804382324215,206.47160186767582,206.28120574951168,206.07948760986332,205.3531120300293,204.93292160034176,204.66550827026367,204.68414001464845,204.48752670288087,202.74685160319007,202.25730387369788,201.796001180013,201.3889287312826,200.9500732421875,195.49538752237962,195.15127716064453,194.82210388183597,194.5560345967611,194.28075002034504,838020.0,826540.0,970900.0,1243040.0,1552760.0,1210710.0,1256780.0,1441560.0,1540980.0,1686170.0,1525765.0,1550700.0,1588290.0,1651770.0,1708755.0,1541350.0,1559010.0,1604790.0,1638993.333333333,1663906.666666667,1522070.0,1522411.666666667,1532335.0,1534328.333333333,1543555.0,0
2020-02-24,197.53517453515158,199.87089931045017,196.2789901958897,199.2231750488281,1557300,203.9436798095703,204.9378326416016,205.1770034790039,203.2984196980794,195.8656234741211,1110160.0,1176600.0,1550255.0,1540520.0,1529243.333333333,204.17919921875,206.8878631591797,205.27838134765625,204.1497802734375,205.4550323486328,205.19005126953124,205.6689758300781,205.6905670166016,205.6905670166016,205.9319854736328,205.64247131347656,206.09685668945312,206.29804382324215,206.47160186767582,206.28120574951168,205.3706382751465,205.3531120300293,204.93292160034176,204.66550827026367,204.68414001464845,203.11614634195962,202.74685160319007,202.25730387369788,201.796001180013,201.3889287312826,195.75250244140625,195.49538752237962,195.15127716064453,194.82210388183597,194.5560345967611,940980.0,838020.0,826540.0,970900.0,1243040.0,1246870.0,1210710.0,1256780.0,1441560.0,1540980.0,1528860.0,1525765.0,1550700.0,1588290.0,1651770.0,1549010.0,1541350.0,1559010.0,1604790.0,1638993.333333333,1527420.0,1522070.0,1522411.666666667,1532335.0,1534328.333333333,0
