Date,Open,High,Low,Close,Volume,sgn,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60
2011-05-12,41.98271163049589,42.25538844332728,41.37374127422646,41.94635772705078,858000,0,42.16274490356445,42.42031631469727,42.73536014556885,42.11557172139486,40.3502695719401,783300.0,825750.0,999295.0,974233.3333333334,938276.6666666666,42.08269119262695,42.30083084106445,42.03799057006836,42.44585418701172,42.76309585571289,42.32609252929687,42.342529296875,42.38059844970703,42.52380218505859,42.677887725830075,42.58356246948242,42.73408164978027,42.822907257080075,42.8881649017334,42.9407356262207,42.65927219390869,42.5858850479126,42.49434070587158,42.39826354980469,42.35067844390869,42.05971082051595,41.98057378133138,41.88630981445313,41.80050519307454,41.68358192443848,40.29529857635498,40.232768313090006,40.165242958068845,40.09227911631266,40.00739739735921,765200.0,737780.0,807720.0,813160.0,868200.0,819430.0,809670.0,805990.0,749720.0,716570.0,1003475.0,1003150.0,1012200.0,1047575.0,1037090.0,975230.0,961846.6666666666,966366.6666666666,952500.0,956563.3333333334,937253.3333333334,931758.3333333334,934595.0,925056.6666666666,925995.0
2011-05-13,41.837275696735894,42.064504008740286,41.201039196906684,41.60095977783203,483600,0,41.99376602172852,42.25878410339355,42.66139297485351,42.13000882466634,40.38815415700277,735260.0,774210.0,812405.0,956936.6666666666,923985.0,41.94635772705078,42.08269119262695,42.30083084106445,42.03799057006836,42.44585418701172,42.16274490356445,42.32609252929687,42.342529296875,42.38059844970703,42.52380218505859,42.42031631469727,42.58356246948242,42.73408164978027,42.822907257080075,42.8881649017334,42.73536014556885,42.65927219390869,42.5858850479126,42.49434070587158,42.39826354980469,42.11557172139486,42.05971082051595,41.98057378133138,41.88630981445313,41.80050519307454,40.3502695719401,40.29529857635498,40.232768313090006,40.165242958068845,40.09227911631266,783300.0,765200.0,737780.0,807720.0,813160.0,825750.0,819430.0,809670.0,805990.0,749720.0,999295.0,1003475.0,1003150.0,1012200.0,1047575.0,974233.3333333334,975230.0,961846.6666666666,966366.6666666666,952500.0,938276.6666666666,937253.3333333334,931758.3333333334,934595.0,925056.6666666666
2011-05-16,41.40099977661089,41.90999246857254,41.18286252807663,41.29193115234375,814300,0,41.8445541381836,42.11257629394531,42.537078285217284,42.15136604309082,40.42844117482503,690480.0,749100.0,785165.0,925566.6666666666,919783.3333333334,41.60095977783203,41.94635772705078,42.08269119262695,42.30083084106445,42.03799057006836,41.99376602172852,42.16274490356445,42.32609252929687,42.342529296875,42.38059844970703,42.25878410339355,42.42031631469727,42.58356246948242,42.73408164978027,42.822907257080075,42.66139297485351,42.73536014556885,42.65927219390869,42.5858850479126,42.49434070587158,42.13000882466634,42.11557172139486,42.05971082051595,41.98057378133138,41.88630981445313,40.38815415700277,40.3502695719401,40.29529857635498,40.232768313090006,40.165242958068845,735260.0,783300.0,765200.0,737780.0,807720.0,774210.0,825750.0,819430.0,809670.0,805990.0,812405.0,999295.0,1003475.0,1003150.0,1012200.0,956936.6666666666,974233.3333333334,975230.0,961846.6666666666,966366.6666666666,923985.0,938276.6666666666,937253.3333333334,931758.3333333334,934595.0
2011-05-17,41.14651706207624,41.39192413806039,40.71023897162552,41.246498107910156,716300,1,41.633687591552736,41.988108444213864,42.47257919311524,42.15217450459798,40.4690284093221,743680.0,740730.0,751900.0,925620.0,923093.3333333334,41.29193115234375,41.60095977783203,41.94635772705078,42.08269119262695,42.30083084106445,41.8445541381836,41.99376602172852,42.16274490356445,42.32609252929687,42.342529296875,42.11257629394531,42.25878410339355,42.42031631469727,42.58356246948242,42.73408164978027,42.537078285217284,42.66139297485351,42.73536014556885,42.65927219390869,42.5858850479126,42.15136604309082,42.13000882466634,42.11557172139486,42.05971082051595,41.98057378133138,40.42844117482503,40.38815415700277,40.3502695719401,40.29529857635498,40.232768313090006,690480.0,735260.0,783300.0,765200.0,737780.0,749100.0,774210.0,825750.0,819430.0,809670.0,785165.0,812405.0,999295.0,1003475.0,1003150.0,925566.6666666666,956936.6666666666,974233.3333333334,975230.0,961846.6666666666,919783.3333333334,923985.0,938276.6666666666,937253.3333333334,931758.3333333334
2011-05-18,41.182867743080614,42.33718818670267,41.01926305234807,42.21902847290039,702800,0,41.66095504760742,41.99352378845215,42.46939487457276,42.18721389770508,40.55014559427897,715000.0,740100.0,736370.0,928776.6666666666,918746.6666666666,41.246498107910156,41.29193115234375,41.60095977783203,41.94635772705078,42.08269119262695,41.633687591552736,41.8445541381836,41.99376602172852,42.16274490356445,42.32609252929687,41.988108444213864,42.11257629394531,42.25878410339355,42.42031631469727,42.58356246948242,42.47257919311524,42.537078285217284,42.66139297485351,42.73536014556885,42.65927219390869,42.15217450459798,42.15136604309082,42.13000882466634,42.11557172139486,42.05971082051595,40.4690284093221,40.42844117482503,40.38815415700277,40.3502695719401,40.29529857635498,743680.0,690480.0,735260.0,783300.0,765200.0,740730.0,749100.0,774210.0,825750.0,819430.0,751900.0,785165.0,812405.0,999295.0,1003475.0,925620.0,925566.6666666666,956936.6666666666,974233.3333333334,975230.0,923093.3333333334,919783.3333333334,923985.0,938276.6666666666,937253.3333333334
2011-05-19,42.24629707247767,42.8098224450892,41.919087673145256,42.1917610168457,570700,0,41.710035705566405,41.93639030456543,42.43856296539307,42.212582397460935,40.64651927947998,657540.0,720420.0,718495.0,931533.3333333334,905486.6666666666,42.21902847290039,41.246498107910156,41.29193115234375,41.60095977783203,41.94635772705078,41.66095504760742,41.633687591552736,41.8445541381836,41.99376602172852,42.16274490356445,41.99352378845215,41.988108444213864,42.11257629394531,42.25878410339355,42.42031631469727,42.46939487457276,42.47257919311524,42.537078285217284,42.66139297485351,42.73536014556885,42.18721389770508,42.15217450459798,42.15136604309082,42.13000882466634,42.11557172139486,40.55014559427897,40.4690284093221,40.42844117482503,40.38815415700277,40.3502695719401,715000.0,743680.0,690480.0,735260.0,783300.0,740100.0,740730.0,749100.0,774210.0,825750.0,736370.0,751900.0,785165.0,812405.0,999295.0,928776.6666666666,925620.0,925566.6666666666,956936.6666666666,974233.3333333334,918746.6666666666,923093.3333333334,919783.3333333334,923985.0,938276.6666666666
2011-05-20,42.009983033615654,42.1463179781288,41.537347598064464,41.846378326416016,521300,0,41.7591194152832,41.87644271850586,42.38230381011963,42.22432327270508,40.72777055104574,665080.0,700170.0,724945.0,931773.3333333334,894105.0,42.1917610168457,42.21902847290039,41.246498107910156,41.29193115234375,41.60095977783203,41.710035705566405,41.66095504760742,41.633687591552736,41.8445541381836,41.99376602172852,41.93639030456543,41.99352378845215,41.988108444213864,42.11257629394531,42.25878410339355,42.43856296539307,42.46939487457276,42.47257919311524,42.537078285217284,42.66139297485351,42.212582397460935,42.18721389770508,42.15217450459798,42.15136604309082,42.13000882466634,40.64651927947998,40.55014559427897,40.4690284093221,40.42844117482503,40.38815415700277,657540.0,715000.0,743680.0,690480.0,735260.0,720420.0,740100.0,740730.0,749100.0,774210.0,718495.0,736370.0,751900.0,785165.0,812405.0,931533.3333333334,928776.6666666666,925620.0,925566.6666666666,956936.6666666666,905486.6666666666,918746.6666666666,923093.3333333334,919783.3333333334,923985.0
2011-05-23,41.3464693072312,41.401001888532015,40.81929790646177,41.1465072631836,346100,1,41.73003463745117,41.78729438781738,42.30510082244873,42.25865859985352,40.79327837626139,571440.0,630960.0,718475.0,885120.0,881236.6666666666,41.846378326416016,42.1917610168457,42.21902847290039,41.246498107910156,41.29193115234375,41.7591194152832,41.710035705566405,41.66095504760742,41.633687591552736,41.8445541381836,41.87644271850586,41.93639030456543,41.99352378845215,41.988108444213864,42.11257629394531,42.38230381011963,42.43856296539307,42.46939487457276,42.47257919311524,42.537078285217284,42.22432327270508,42.212582397460935,42.18721389770508,42.15217450459798,42.15136604309082,40.72777055104574,40.64651927947998,40.55014559427897,40.4690284093221,40.42844117482503,665080.0,657540.0,715000.0,743680.0,690480.0,700170.0,720420.0,740100.0,740730.0,749100.0,724945.0,718495.0,736370.0,751900.0,785165.0,931773.3333333334,931533.3333333334,928776.6666666666,925620.0,925566.6666666666,894105.0,905486.6666666666,918746.6666666666,923093.3333333334,919783.3333333334
2011-05-24,41.33738108385264,41.537343141694606,40.95563911949555,41.23740005493164,623000,0,41.728215026855466,41.680951309204104,42.207516479492185,42.2842404683431,40.85199286142985,552780.0,648230.0,728950.0,884843.3333333334,876543.3333333334,41.1465072631836,41.846378326416016,42.1917610168457,42.21902847290039,41.246498107910156,41.73003463745117,41.7591194152832,41.710035705566405,41.66095504760742,41.633687591552736,41.78729438781738,41.87644271850586,41.93639030456543,41.99352378845215,41.988108444213864,42.30510082244873,42.38230381011963,42.43856296539307,42.46939487457276,42.47257919311524,42.25865859985352,42.22432327270508,42.212582397460935,42.18721389770508,42.15217450459798,40.79327837626139,40.72777055104574,40.64651927947998,40.55014559427897,40.4690284093221,571440.0,665080.0,657540.0,715000.0,743680.0,630960.0,700170.0,720420.0,740100.0,740730.0,718475.0,724945.0,718495.0,736370.0,751900.0,885120.0,931773.3333333334,931533.3333333334,928776.6666666666,925620.0,881236.6666666666,894105.0,905486.6666666666,918746.6666666666,923093.3333333334
2011-05-25,41.128335174707225,41.39192091735431,40.96473047011453,40.99199676513672,742300,1,41.482808685302736,41.57188186645508,42.07772216796875,42.29680875142415,40.920514996846514,560680.0,637840.0,728635.0,881596.6666666666,866203.3333333334,41.23740005493164,41.1465072631836,41.846378326416016,42.1917610168457,42.21902847290039,41.728215026855466,41.73003463745117,41.7591194152832,41.710035705566405,41.66095504760742,41.680951309204104,41.78729438781738,41.87644271850586,41.93639030456543,41.99352378845215,42.207516479492185,42.30510082244873,42.38230381011963,42.43856296539307,42.46939487457276,42.2842404683431,42.25865859985352,42.22432327270508,42.212582397460935,42.18721389770508,40.85199286142985,40.79327837626139,40.72777055104574,40.64651927947998,40.55014559427897,552780.0,571440.0,665080.0,657540.0,715000.0,648230.0,630960.0,700170.0,720420.0,740100.0,728950.0,718475.0,724945.0,718495.0,736370.0,884843.3333333334,885120.0,931773.3333333334,931533.3333333334,928776.6666666666,876543.3333333334,881236.6666666666,894105.0,905486.6666666666,918746.6666666666
