Date,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60,predict
2020-02-10,36.75,36.900001525878906,36.36000061035156,36.849998474121094,2790900,37.04999923706055,36.9359992980957,36.80799980163575,36.40666681925456,35.66900011698405,2794780.0,2553440.0,2511030.0,2221560.0,2241946.666666666,36.77999877929688,36.900001525878906,37.93999862670898,36.77999877929688,36.75,37.029999542236325,37.02599945068359,37.06599884033203,36.82799911499024,36.82199935913086,36.92599945068359,36.921999740600576,36.92099952697754,36.80199966430664,36.79899978637695,36.733499908447264,36.673500061035156,36.60300006866455,36.48300018310547,36.42600021362305,36.38266690572103,36.3506669362386,36.312333552042645,36.24966697692871,36.21700032552084,35.655000114440924,35.64150015513103,35.61516679128011,35.561000124613436,35.506666819254555,2609720.0,2643240.0,2571060.0,2339200.0,2312100.0,2641020.0,2749860.0,2693400.0,2551510.0,2621270.0,2454325.0,2385765.0,2354225.0,2279840.0,2250845.0,2168383.333333333,2091706.666666667,2049623.333333333,2064133.333333333,2094260.0,2237885.0,2235833.333333333,2232925.0,2265761.666666666,2266598.333333333,1
2020-02-11,41.38999938964844,41.5,38.16999816894531,39.47999954223633,15537300,37.58999938964844,37.208999252319344,36.97899971008301,36.52433344523112,35.73250013987224,5419480.0,3879340.0,3222610.0,2691440.0,2474006.666666666,36.849998474121094,36.77999877929688,36.900001525878906,37.93999862670898,36.77999877929688,37.04999923706055,37.029999542236325,37.02599945068359,37.06599884033203,36.82799911499024,36.9359992980957,36.92599945068359,36.921999740600576,36.92099952697754,36.80199966430664,36.80799980163575,36.733499908447264,36.673500061035156,36.60300006866455,36.48300018310547,36.40666681925456,36.38266690572103,36.3506669362386,36.312333552042645,36.24966697692871,35.66900011698405,35.655000114440924,35.64150015513103,35.61516679128011,35.561000124613436,2794780.0,2609720.0,2643240.0,2571060.0,2339200.0,2553440.0,2641020.0,2749860.0,2693400.0,2551510.0,2511030.0,2454325.0,2385765.0,2354225.0,2279840.0,2221560.0,2168383.333333333,2091706.666666667,2049623.333333333,2064133.333333333,2241946.666666666,2237885.0,2235833.333333333,2232925.0,2265761.666666666,1
2020-02-12,40.06999969482422,42.0099983215332,39.599998474121094,40.11000061035156,9039600,38.02399978637696,37.544999313354495,37.154999732971184,36.68166681925456,35.80666681925456,6508100.0,4539580.0,3553265.0,2951830.0,2606736.666666666,39.47999954223633,36.849998474121094,36.77999877929688,36.900001525878906,37.93999862670898,37.58999938964844,37.04999923706055,37.029999542236325,37.02599945068359,37.06599884033203,37.208999252319344,36.9359992980957,36.92599945068359,36.921999740600576,36.92099952697754,36.97899971008301,36.80799980163575,36.733499908447264,36.673500061035156,36.60300006866455,36.52433344523112,36.40666681925456,36.38266690572103,36.3506669362386,36.312333552042645,35.73250013987224,35.66900011698405,35.655000114440924,35.64150015513103,35.61516679128011,5419480.0,2794780.0,2609720.0,2643240.0,2571060.0,3879340.0,2553440.0,2641020.0,2749860.0,2693400.0,3222610.0,2511030.0,2454325.0,2385765.0,2354225.0,2691440.0,2221560.0,2168383.333333333,2091706.666666667,2049623.333333333,2474006.666666666,2241946.666666666,2237885.0,2235833.333333333,2232925.0,1
2020-02-13,39.97999954223633,40.54999923706055,39.83000183105469,40.18000030517578,5598800,38.67999954223633,37.85299949645996,37.330999755859374,36.83866678873698,35.87716681162517,7135880.0,4889560.0,3755825.0,3073586.666666666,2673286.666666666,40.11000061035156,39.47999954223633,36.849998474121094,36.77999877929688,36.900001525878906,38.02399978637696,37.58999938964844,37.04999923706055,37.029999542236325,37.02599945068359,37.544999313354495,37.208999252319344,36.9359992980957,36.92599945068359,36.921999740600576,37.154999732971184,36.97899971008301,36.80799980163575,36.733499908447264,36.673500061035156,36.68166681925456,36.52433344523112,36.40666681925456,36.38266690572103,36.3506669362386,35.80666681925456,35.73250013987224,35.66900011698405,35.655000114440924,35.64150015513103,6508100.0,5419480.0,2794780.0,2609720.0,2643240.0,4539580.0,3879340.0,2553440.0,2641020.0,2749860.0,3553265.0,3222610.0,2511030.0,2454325.0,2385765.0,2951830.0,2691440.0,2221560.0,2168383.333333333,2091706.666666667,2606736.666666666,2474006.666666666,2241946.666666666,2237885.0,2235833.333333333,1
2020-02-14,40.09000015258789,40.2599983215332,39.68999862670898,39.97000122070313,3277900,39.31800003051758,38.17399978637695,37.48849983215332,36.979666773478186,35.93016681671143,7248900.0,4929310.0,3853385.0,3124066.666666666,2692678.333333333,40.18000030517578,40.11000061035156,39.47999954223633,36.849998474121094,36.77999877929688,38.67999954223633,38.02399978637696,37.58999938964844,37.04999923706055,37.029999542236325,37.85299949645996,37.544999313354495,37.208999252319344,36.9359992980957,36.92599945068359,37.330999755859374,37.154999732971184,36.97899971008301,36.80799980163575,36.733499908447264,36.83866678873698,36.68166681925456,36.52433344523112,36.40666681925456,36.38266690572103,35.87716681162517,35.80666681925456,35.73250013987224,35.66900011698405,35.655000114440924,7135880.0,6508100.0,5419480.0,2794780.0,2609720.0,4889560.0,4539580.0,3879340.0,2553440.0,2641020.0,3755825.0,3553265.0,3222610.0,2511030.0,2454325.0,3073586.666666666,2951830.0,2691440.0,2221560.0,2168383.333333333,2673286.666666666,2606736.666666666,2474006.666666666,2241946.666666666,2237885.0,1
2020-02-18,39.88999938964844,41.560001373291016,39.81999969482422,41.290000915527344,5293000,40.20600051879883,38.62799987792969,37.71349983215332,37.16000010172526,36.021166801452644,7749320.0,5272050.0,3946660.0,3257913.333333333,2757418.333333333,39.97000122070313,40.18000030517578,40.11000061035156,39.47999954223633,36.849998474121094,39.31800003051758,38.67999954223633,38.02399978637696,37.58999938964844,37.04999923706055,38.17399978637695,37.85299949645996,37.544999313354495,37.208999252319344,36.9359992980957,37.48849983215332,37.330999755859374,37.154999732971184,36.97899971008301,36.80799980163575,36.979666773478186,36.83866678873698,36.68166681925456,36.52433344523112,36.40666681925456,35.93016681671143,35.87716681162517,35.80666681925456,35.73250013987224,35.66900011698405,7248900.0,7135880.0,6508100.0,5419480.0,2794780.0,4929310.0,4889560.0,4539580.0,3879340.0,2553440.0,3853385.0,3755825.0,3553265.0,3222610.0,2511030.0,3124066.666666666,3073586.666666666,2951830.0,2691440.0,2221560.0,2692678.333333333,2673286.666666666,2606736.666666666,2474006.666666666,2241946.666666666,1
2020-02-19,42.0,42.61999893188477,40.88999938964844,41.25,5084700,40.56000061035157,39.075,37.93849983215332,37.34700012207031,36.1173334757487,5658800.0,5539140.0,4045325.0,3366273.333333333,2813851.666666666,41.290000915527344,39.97000122070313,40.18000030517578,40.11000061035156,39.47999954223633,40.20600051879883,39.31800003051758,38.67999954223633,38.02399978637696,37.58999938964844,38.62799987792969,38.17399978637695,37.85299949645996,37.544999313354495,37.208999252319344,37.71349983215332,37.48849983215332,37.330999755859374,37.154999732971184,36.97899971008301,37.16000010172526,36.979666773478186,36.83866678873698,36.68166681925456,36.52433344523112,36.021166801452644,35.93016681671143,35.87716681162517,35.80666681925456,35.73250013987224,7749320.0,7248900.0,7135880.0,6508100.0,5419480.0,5272050.0,4929310.0,4889560.0,4539580.0,3879340.0,3946660.0,3853385.0,3755825.0,3553265.0,3222610.0,3257913.333333333,3124066.666666666,3073586.666666666,2951830.0,2691440.0,2757418.333333333,2692678.333333333,2673286.666666666,2606736.666666666,2474006.666666666,1
2020-02-20,41.7599983215332,41.849998474121094,40.83000183105469,41.0,3135500,40.73800048828125,39.3810001373291,38.15099983215332,37.529000091552724,36.202166811625155,4477980.0,5493040.0,4093220.0,3400496.666666666,2808043.333333333,41.25,41.290000915527344,39.97000122070313,40.18000030517578,40.11000061035156,40.56000061035157,40.20600051879883,39.31800003051758,38.67999954223633,38.02399978637696,39.075,38.62799987792969,38.17399978637695,37.85299949645996,37.544999313354495,37.93849983215332,37.71349983215332,37.48849983215332,37.330999755859374,37.154999732971184,37.34700012207031,37.16000010172526,36.979666773478186,36.83866678873698,36.68166681925456,36.1173334757487,36.021166801452644,35.93016681671143,35.87716681162517,35.80666681925456,5658800.0,7749320.0,7248900.0,7135880.0,6508100.0,5539140.0,5272050.0,4929310.0,4889560.0,4539580.0,4045325.0,3946660.0,3853385.0,3755825.0,3553265.0,3366273.333333333,3257913.333333333,3124066.666666666,3073586.666666666,2951830.0,2813851.666666666,2757418.333333333,2692678.333333333,2673286.666666666,2606736.666666666,1
2020-02-21,40.81999969482422,40.88000106811523,40.43000030517578,40.72999954223633,2387500,40.84800033569336,39.76399993896485,38.34299983978271,37.70366668701172,36.27600015004476,3835720.0,5485800.0,4117830.0,3419110.0,2788676.666666666,41.0,41.25,41.290000915527344,39.97000122070313,40.18000030517578,40.73800048828125,40.56000061035157,40.20600051879883,39.31800003051758,38.67999954223633,39.3810001373291,39.075,38.62799987792969,38.17399978637695,37.85299949645996,38.15099983215332,37.93849983215332,37.71349983215332,37.48849983215332,37.330999755859374,37.529000091552724,37.34700012207031,37.16000010172526,36.979666773478186,36.83866678873698,36.202166811625155,36.1173334757487,36.021166801452644,35.93016681671143,35.87716681162517,4477980.0,5658800.0,7749320.0,7248900.0,7135880.0,5493040.0,5539140.0,5272050.0,4929310.0,4889560.0,4093220.0,4045325.0,3946660.0,3853385.0,3755825.0,3400496.666666666,3366273.333333333,3257913.333333333,3124066.666666666,3073586.666666666,2808043.333333333,2813851.666666666,2757418.333333333,2692678.333333333,2673286.666666666,1
2020-02-24,39.84000015258789,39.97999954223633,38.31999969482422,38.36000061035156,3718200,40.52600021362305,39.92200012207032,38.42399978637695,37.79633331298828,36.32400016784668,3923780.0,5586340.0,4113680.0,3498330.0,2804435.0,40.72999954223633,41.0,41.25,41.290000915527344,39.97000122070313,40.84800033569336,40.73800048828125,40.56000061035157,40.20600051879883,39.31800003051758,39.76399993896485,39.3810001373291,39.075,38.62799987792969,38.17399978637695,38.34299983978271,38.15099983215332,37.93849983215332,37.71349983215332,37.48849983215332,37.70366668701172,37.529000091552724,37.34700012207031,37.16000010172526,36.979666773478186,36.27600015004476,36.202166811625155,36.1173334757487,36.021166801452644,35.93016681671143,3835720.0,4477980.0,5658800.0,7749320.0,7248900.0,5485800.0,5493040.0,5539140.0,5272050.0,4929310.0,4117830.0,4093220.0,4045325.0,3946660.0,3853385.0,3419110.0,3400496.666666666,3366273.333333333,3257913.333333333,3124066.666666666,2788676.666666666,2808043.333333333,2813851.666666666,2757418.333333333,2692678.333333333,1
