Date,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60,predict
2020-02-10,22.85353313247835,23.490767113536485,22.814911998325965,23.3459415435791,4878300,22.73767280578613,22.475055122375487,23.092013549804694,23.23812656402588,23.537359873453774,5144600.0,5686360.0,4397855.0,3787683.333333334,3859493.333333334,22.940431594848643,22.3225040435791,22.54457092285156,22.534915924072266,22.351470947265625,22.538778686523443,22.38043556213379,22.341815567016607,22.22788581848145,22.212437438964844,22.50305461883545,22.58222599029541,22.714500617980963,22.817809677124025,22.931739616394047,23.091047954559325,23.12049570083618,23.168288230896,23.20883960723877,23.25470123291016,23.248103523254393,23.26516075134277,23.308608500162762,23.345619583129878,23.380699666341147,23.55886958440145,23.596560637156173,23.642474238077803,23.677978992462158,23.71699854532877,5286640.0,5297760.0,5196960.0,5133460.0,6228120.0,6070180.0,5768230.0,5496890.0,5252260.0,5108770.0,4239645.0,4043420.0,3913645.0,3764105.0,3724560.0,3663106.666666666,3477806.666666666,3449186.666666666,3508010.0,3464453.333333333,3864698.333333334,3819735.0,3822281.666666666,3815998.333333334,3842161.666666666,1
2020-02-11,23.59697250021472,23.77076391422653,23.413525803029266,23.62593650817871,4263500,22.955876922607427,22.591881370544435,23.0886342048645,23.24005756378174,23.526266161600752,5010900.0,5072180.0,4523385.0,3828790.0,3883841.666666666,23.3459415435791,22.940431594848643,22.3225040435791,22.54457092285156,22.534915924072266,22.73767280578613,22.538778686523443,22.38043556213379,22.341815567016607,22.22788581848145,22.475055122375487,22.50305461883545,22.58222599029541,22.714500617980963,22.817809677124025,23.092013549804694,23.091047954559325,23.12049570083618,23.168288230896,23.20883960723877,23.23812656402588,23.248103523254393,23.26516075134277,23.308608500162762,23.345619583129878,23.537359873453774,23.55886958440145,23.596560637156173,23.642474238077803,23.677978992462158,5144600.0,5286640.0,5297760.0,5196960.0,5133460.0,5686360.0,6070180.0,5768230.0,5496890.0,5252260.0,4397855.0,4239645.0,4043420.0,3913645.0,3764105.0,3787683.333333334,3663106.666666666,3477806.666666666,3449186.666666666,3508010.0,3859493.333333334,3864698.333333334,3819735.0,3822281.666666666,3815998.333333334,1
2020-02-12,23.741799275955906,24.108690847487804,23.51007799263728,23.58731842041016,3729700,23.164426422119146,22.753120994567876,23.08718605041504,23.23780473073323,23.519000657399488,4776780.0,4986870.0,4609560.0,3880570.0,3856651.666666666,23.62593650817871,23.3459415435791,22.940431594848643,22.3225040435791,22.54457092285156,22.955876922607427,22.73767280578613,22.538778686523443,22.38043556213379,22.341815567016607,22.591881370544435,22.475055122375487,22.50305461883545,22.58222599029541,22.714500617980963,23.0886342048645,23.092013549804694,23.091047954559325,23.12049570083618,23.168288230896,23.24005756378174,23.23812656402588,23.248103523254393,23.26516075134277,23.308608500162762,23.526266161600752,23.537359873453774,23.55886958440145,23.596560637156173,23.642474238077803,5010900.0,5144600.0,5286640.0,5297760.0,5196960.0,5072180.0,5686360.0,6070180.0,5768230.0,5496890.0,4523385.0,4397855.0,4239645.0,4043420.0,3913645.0,3828790.0,3787683.333333334,3663106.666666666,3477806.666666666,3449186.666666666,3883841.666666666,3859493.333333334,3864698.333333334,3819735.0,3822281.666666666,1
2020-02-13,23.32663161042717,24.108691182695946,23.181806036534,24.07972717285156,5018100,23.515871047973636,22.94815330505371,23.109392642974854,23.247781689961748,23.512914848327643,4832700.0,5065230.0,4796600.0,3971443.333333334,3846616.666666666,23.58731842041016,23.62593650817871,23.3459415435791,22.940431594848643,22.3225040435791,23.164426422119146,22.955876922607427,22.73767280578613,22.538778686523443,22.38043556213379,22.753120994567876,22.591881370544435,22.475055122375487,22.50305461883545,22.58222599029541,23.08718605041504,23.0886342048645,23.092013549804694,23.091047954559325,23.12049570083618,23.23780473073323,23.24005756378174,23.23812656402588,23.248103523254393,23.26516075134277,23.519000657399488,23.526266161600752,23.537359873453774,23.55886958440145,23.596560637156173,4776780.0,5010900.0,5144600.0,5286640.0,5297760.0,4986870.0,5072180.0,5686360.0,6070180.0,5768230.0,4609560.0,4523385.0,4397855.0,4239645.0,4043420.0,3880570.0,3828790.0,3787683.333333334,3663106.666666666,3477806.666666666,3856651.666666666,3883841.666666666,3859493.333333334,3864698.333333334,3819735.0,1
2020-02-14,24.06041608812037,24.08938193889927,23.365252243440057,23.403871536254893,6793400,23.608559036254878,23.07366886138916,23.077530956268312,23.23265546162923,23.486461385091147,4936600.0,5111620.0,5029470.0,4102023.333333334,3842325.0,24.07972717285156,23.58731842041016,23.62593650817871,23.3459415435791,22.940431594848643,23.515871047973636,23.164426422119146,22.955876922607427,22.73767280578613,22.538778686523443,22.94815330505371,22.753120994567876,22.591881370544435,22.475055122375487,22.50305461883545,23.109392642974854,23.08718605041504,23.0886342048645,23.092013549804694,23.091047954559325,23.247781689961748,23.23780473073323,23.24005756378174,23.23812656402588,23.248103523254393,23.512914848327643,23.519000657399488,23.526266161600752,23.537359873453774,23.55886958440145,4832700.0,4776780.0,5010900.0,5144600.0,5286640.0,5065230.0,4986870.0,5072180.0,5686360.0,6070180.0,4796600.0,4609560.0,4523385.0,4397855.0,4239645.0,3971443.333333334,3880570.0,3828790.0,3787683.333333334,3663106.666666666,3846616.666666666,3856651.666666666,3883841.666666666,3859493.333333334,3864698.333333334,1
2020-02-18,23.288011066067906,23.43283663218301,23.133528375113865,23.239734649658203,2813600,23.587317657470702,23.162495231628423,23.04711742401123,23.223965899149576,23.456633472442626,4523660.0,4834130.0,4971450.0,4094416.666666666,3829210.0,23.403871536254893,24.07972717285156,23.58731842041016,23.62593650817871,23.3459415435791,23.608559036254878,23.515871047973636,23.164426422119146,22.955876922607427,22.73767280578613,23.07366886138916,22.94815330505371,22.753120994567876,22.591881370544435,22.475055122375487,23.077530956268312,23.109392642974854,23.08718605041504,23.0886342048645,23.092013549804694,23.23265546162923,23.247781689961748,23.23780473073323,23.24005756378174,23.23812656402588,23.486461385091147,23.512914848327643,23.519000657399488,23.526266161600752,23.537359873453774,4936600.0,4832700.0,4776780.0,5010900.0,5144600.0,5111620.0,5065230.0,4986870.0,5072180.0,5686360.0,5029470.0,4796600.0,4609560.0,4523385.0,4397855.0,4102023.333333334,3971443.333333334,3880570.0,3828790.0,3787683.333333334,3842325.0,3846616.666666666,3856651.666666666,3883841.666666666,3859493.333333334,1
2020-02-19,23.29766657624668,23.51007914419415,23.04663655485683,23.17215156555176,3160400,23.496560668945317,23.226218795776372,23.0220142364502,23.21463267008464,23.434622828165693,4303040.0,4656970.0,4954615.0,4061726.666666666,3783386.666666666,23.239734649658203,23.403871536254893,24.07972717285156,23.58731842041016,23.62593650817871,23.587317657470702,23.608559036254878,23.515871047973636,23.164426422119146,22.955876922607427,23.162495231628423,23.07366886138916,22.94815330505371,22.753120994567876,22.591881370544435,23.04711742401123,23.077530956268312,23.109392642974854,23.08718605041504,23.0886342048645,23.223965899149576,23.23265546162923,23.247781689961748,23.23780473073323,23.24005756378174,23.456633472442626,23.486461385091147,23.512914848327643,23.519000657399488,23.526266161600752,4523660.0,4936600.0,4832700.0,4776780.0,5010900.0,4834130.0,5111620.0,5065230.0,4986870.0,5072180.0,4971450.0,5029470.0,4796600.0,4609560.0,4523385.0,4094416.666666666,4102023.333333334,3971443.333333334,3880570.0,3828790.0,3829210.0,3842325.0,3846616.666666666,3856651.666666666,3883841.666666666,1
2020-02-20,23.14318397325193,23.53904138541203,23.123875247982355,23.481111526489247,2926900,23.475319290161128,23.319872856140137,23.017186737060552,23.218816439310714,23.42159455617269,4142480.0,4459630.0,4978260.0,4095640.0,3776460.0,23.17215156555176,23.239734649658203,23.403871536254893,24.07972717285156,23.58731842041016,23.496560668945317,23.587317657470702,23.608559036254878,23.515871047973636,23.164426422119146,23.226218795776372,23.162495231628423,23.07366886138916,22.94815330505371,22.753120994567876,23.0220142364502,23.04711742401123,23.077530956268312,23.109392642974854,23.08718605041504,23.21463267008464,23.223965899149576,23.23265546162923,23.247781689961748,23.23780473073323,23.434622828165693,23.456633472442626,23.486461385091147,23.512914848327643,23.519000657399488,4303040.0,4523660.0,4936600.0,4832700.0,4776780.0,4656970.0,4834130.0,5111620.0,5065230.0,4986870.0,4954615.0,4971450.0,5029470.0,4796600.0,4609560.0,4061726.666666666,4094416.666666666,4102023.333333334,3971443.333333334,3880570.0,3783386.666666666,3829210.0,3842325.0,3846616.666666666,3856651.666666666,1
2020-02-21,23.423183115024234,23.645249122581788,23.278357537989177,23.307321548461914,2930000,23.3208381652832,23.418354606628423,23.000290298461913,23.21978200276693,23.403433863321943,3724860.0,4278780.0,5023505.0,4121873.333333334,3788136.666666666,23.481111526489247,23.17215156555176,23.239734649658203,23.403871536254893,24.07972717285156,23.475319290161128,23.496560668945317,23.587317657470702,23.608559036254878,23.515871047973636,23.319872856140137,23.226218795776372,23.162495231628423,23.07366886138916,22.94815330505371,23.017186737060552,23.0220142364502,23.04711742401123,23.077530956268312,23.109392642974854,23.218816439310714,23.21463267008464,23.223965899149576,23.23265546162923,23.247781689961748,23.42159455617269,23.434622828165693,23.456633472442626,23.486461385091147,23.512914848327643,4142480.0,4303040.0,4523660.0,4936600.0,4832700.0,4459630.0,4656970.0,4834130.0,5111620.0,5065230.0,4978260.0,4954615.0,4971450.0,5029470.0,4796600.0,4095640.0,4061726.666666666,4094416.666666666,4102023.333333334,3971443.333333334,3776460.0,3783386.666666666,3829210.0,3842325.0,3846616.666666666,1
2020-02-24,22.853534424936104,22.892153719715534,22.467332269356127,22.486642837524414,4400600,23.137392425537108,23.372975730895995,22.93801517486572,23.185023880004888,23.365206845601396,3246300.0,4091450.0,5080815.0,4190246.666666666,3813585.0,23.307321548461914,23.481111526489247,23.17215156555176,23.239734649658203,23.403871536254893,23.3208381652832,23.475319290161128,23.496560668945317,23.587317657470702,23.608559036254878,23.418354606628423,23.319872856140137,23.226218795776372,23.162495231628423,23.07366886138916,23.000290298461913,23.017186737060552,23.0220142364502,23.04711742401123,23.077530956268312,23.21978200276693,23.218816439310714,23.21463267008464,23.223965899149576,23.23265546162923,23.403433863321943,23.42159455617269,23.434622828165693,23.456633472442626,23.486461385091147,3724860.0,4142480.0,4303040.0,4523660.0,4936600.0,4278780.0,4459630.0,4656970.0,4834130.0,5111620.0,5023505.0,4978260.0,4954615.0,4971450.0,5029470.0,4121873.333333334,4095640.0,4061726.666666666,4094416.666666666,4102023.333333334,3788136.666666666,3776460.0,3783386.666666666,3829210.0,3842325.0,1
