Date,Open,High,Low,Close,Volume,sgn,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60,predict
2018-02-09,85.38899131501896,88.29986679370131,83.54702443172685,87.53636169433594,8017600,1,87.77686309814453,91.05422515869141,93.00212860107422,93.8350680033366,93.00435333251951,6259040.0,4905210.0,4975810.0,4159430.0,3717951.666666666,84.31053161621094,89.34014129638672,89.88414001464844,87.81314086914062,92.27010345458984,88.72361145019529,90.94923858642578,92.0544204711914,92.91909637451172,94.33158721923829,91.80914459228515,92.89237365722656,93.43542098999023,93.79808807373048,94.40030441284179,93.4320785522461,94.04670333862305,94.37644348144529,94.66132850646973,95.09414253234863,94.05971349080404,94.3741340637207,94.52629013061524,94.6527048746745,94.84847056070964,93.03377799987793,93.1109432220459,93.1079273223877,93.11771850585936,93.16583048502605,5588180.0,5015620.0,4896840.0,4141340.0,3551380.0,4470320.0,4226350.0,4341620.0,4054740.0,3910910.0,4712200.0,4535415.0,4494500.0,4227125.0,4033545.0,3977840.0,3836516.666666666,3775966.666666666,3612483.333333334,3501453.333333333,3629466.666666666,3577791.666666666,3580341.666666666,3495670.0,3441986.666666666,0
2018-02-12,88.35714411784181,91.31574215765228,88.20443871329691,90.38043975830078,7419200,0,88.29032287597656,90.60470962524414,92.70292854309082,93.68715515136721,93.02454897562664,6458500.0,5299920.0,5185195.0,4342906.666666667,3794210.0,87.53636169433594,84.31053161621094,89.34014129638672,89.88414001464844,87.81314086914062,87.77686309814453,88.72361145019529,90.94923858642578,92.0544204711914,92.91909637451172,91.05422515869141,91.80914459228515,92.89237365722656,93.43542098999023,93.79808807373048,93.00212860107422,93.4320785522461,94.04670333862305,94.37644348144529,94.66132850646973,93.8350680033366,94.05971349080404,94.3741340637207,94.52629013061524,94.6527048746745,93.00435333251951,93.03377799987793,93.1109432220459,93.1079273223877,93.11771850585936,6259040.0,5588180.0,5015620.0,4896840.0,4141340.0,4905210.0,4470320.0,4226350.0,4341620.0,4054740.0,4975810.0,4712200.0,4535415.0,4494500.0,4227125.0,4159430.0,3977840.0,3836516.666666666,3775966.666666666,3612483.333333334,3717951.666666666,3629466.666666666,3577791.666666666,3580341.666666666,3495670.0,0
2018-02-13,89.7409870884847,90.48540760630488,88.5861799670722,90.24681091308594,3366700,1,88.36285705566407,90.20863876342771,92.4271110534668,93.54715143839519,93.05044275919596,5683040.0,5289940.0,5162830.0,4386570.0,3796378.333333334,90.38043975830078,87.53636169433594,84.31053161621094,89.34014129638672,89.88414001464844,88.29032287597656,87.77686309814453,88.72361145019529,90.94923858642578,92.0544204711914,90.60470962524414,91.05422515869141,91.80914459228515,92.89237365722656,93.43542098999023,92.70292854309082,93.00212860107422,93.4320785522461,94.04670333862305,94.37644348144529,93.68715515136721,93.8350680033366,94.05971349080404,94.3741340637207,94.52629013061524,93.02454897562664,93.00435333251951,93.03377799987793,93.1109432220459,93.1079273223877,6458500.0,6259040.0,5588180.0,5015620.0,4896840.0,5299920.0,4905210.0,4470320.0,4226350.0,4341620.0,5185195.0,4975810.0,4712200.0,4535415.0,4494500.0,4342906.666666667,4159430.0,3977840.0,3836516.666666666,3775966.666666666,3794210.0,3717951.666666666,3629466.666666666,3577791.666666666,3580341.666666666,0
2018-02-14,89.68372863272128,92.15558694611622,89.39740968057355,91.84064483642578,3446800,1,88.86295776367187,89.90609817504883,92.21094245910645,93.47200469970706,93.09814542134606,5613040.0,5314330.0,5111685.0,4409906.666666667,3810716.666666666,90.24681091308594,90.38043975830078,87.53636169433594,84.31053161621094,89.34014129638672,88.36285705566407,88.29032287597656,87.77686309814453,88.72361145019529,90.94923858642578,90.20863876342771,90.60470962524414,91.05422515869141,91.80914459228515,92.89237365722656,92.4271110534668,92.70292854309082,93.00212860107422,93.4320785522461,94.04670333862305,93.54715143839519,93.68715515136721,93.8350680033366,94.05971349080404,94.3741340637207,93.05044275919596,93.02454897562664,93.00435333251951,93.03377799987793,93.1109432220459,5683040.0,6458500.0,6259040.0,5588180.0,5015620.0,5289940.0,5299920.0,4905210.0,4470320.0,4226350.0,5162830.0,5185195.0,4975810.0,4712200.0,4535415.0,4386570.0,4342906.666666667,4159430.0,3977840.0,3836516.666666666,3796378.333333334,3794210.0,3717951.666666666,3629466.666666666,3577791.666666666,0
2018-02-15,92.63279497615164,92.77595447483655,91.08669277825899,92.15560150146484,3057400,1,90.43197174072266,89.57779159545899,92.05346908569337,93.38801905314129,93.14903678894044,5061540.0,5324860.0,5000020.0,4412606.666666667,3807320.0,91.84064483642578,90.24681091308594,90.38043975830078,87.53636169433594,84.31053161621094,88.86295776367187,88.36285705566407,88.29032287597656,87.77686309814453,88.72361145019529,89.90609817504883,90.20863876342771,90.60470962524414,91.05422515869141,91.80914459228515,92.21094245910645,92.4271110534668,92.70292854309082,93.00212860107422,93.4320785522461,93.47200469970706,93.54715143839519,93.68715515136721,93.8350680033366,94.05971349080404,93.09814542134606,93.05044275919596,93.02454897562664,93.00435333251951,93.03377799987793,5613040.0,5683040.0,6458500.0,6259040.0,5588180.0,5314330.0,5289940.0,5299920.0,4905210.0,4470320.0,5111685.0,5162830.0,5185195.0,4975810.0,4712200.0,4409906.666666667,4386570.0,4342906.666666667,4159430.0,3977840.0,3810716.666666666,3796378.333333334,3794210.0,3717951.666666666,3629466.666666666,0
2018-02-16,91.97425087765095,93.04315934454006,91.85972184988735,92.37509155273438,3280700,1,91.39971771240236,89.58829040527344,91.99429740905762,93.25885848999023,93.19946517944337,4114160.0,5186600.0,4548755.0,4417896.666666667,3804388.333333334,92.15560150146484,91.84064483642578,90.24681091308594,90.38043975830078,87.53636169433594,90.43197174072266,88.86295776367187,88.36285705566407,88.29032287597656,87.77686309814453,89.57779159545899,89.90609817504883,90.20863876342771,90.60470962524414,91.05422515869141,92.05346908569337,92.21094245910645,92.4271110534668,92.70292854309082,93.00212860107422,93.38801905314129,93.47200469970706,93.54715143839519,93.68715515136721,93.8350680033366,93.14903678894044,93.09814542134606,93.05044275919596,93.02454897562664,93.00435333251951,5061540.0,5613040.0,5683040.0,6458500.0,6259040.0,5324860.0,5314330.0,5289940.0,5299920.0,4905210.0,5000020.0,5111685.0,5162830.0,5185195.0,4975810.0,4412606.666666667,4409906.666666667,4386570.0,4342906.666666667,4159430.0,3807320.0,3810716.666666666,3796378.333333334,3794210.0,3717951.666666666,0
2018-02-20,92.17467469230002,93.25312910586685,92.098322004244,92.75685119628906,3514700,1,91.875,90.08266143798828,91.94037475585938,93.13510615030924,93.24896494547528,3333260.0,4895880.0,4475310.0,4450043.333333333,3814350.0,92.37509155273438,92.15560150146484,91.84064483642578,90.24681091308594,90.38043975830078,91.39971771240236,90.43197174072266,88.86295776367187,88.36285705566407,88.29032287597656,89.58829040527344,89.57779159545899,89.90609817504883,90.20863876342771,90.60470962524414,91.99429740905762,92.05346908569337,92.21094245910645,92.4271110534668,92.70292854309082,93.25885848999023,93.38801905314129,93.47200469970706,93.54715143839519,93.68715515136721,93.19946517944337,93.14903678894044,93.09814542134606,93.05044275919596,93.02454897562664,4114160.0,5061540.0,5613040.0,5683040.0,6458500.0,5186600.0,5324860.0,5314330.0,5289940.0,5299920.0,4548755.0,5000020.0,5111685.0,5162830.0,5185195.0,4417896.666666667,4412606.666666667,4409906.666666667,4386570.0,4342906.666666667,3804388.333333334,3807320.0,3810716.666666666,3796378.333333334,3794210.0,0
2018-02-21,92.49916540428352,93.99755236466163,92.33692139845628,93.0527114868164,4431500,0,92.4361801147461,90.39951858520507,91.91746978759764,93.05080184936523,93.31274744669595,3546220.0,4614630.0,4478125.0,4534543.333333333,3852223.333333334,92.75685119628906,92.37509155273438,92.15560150146484,91.84064483642578,90.24681091308594,91.875,91.39971771240236,90.43197174072266,88.86295776367187,88.36285705566407,90.08266143798828,89.58829040527344,89.57779159545899,89.90609817504883,90.20863876342771,91.94037475585938,91.99429740905762,92.05346908569337,92.21094245910645,92.4271110534668,93.13510615030924,93.25885848999023,93.38801905314129,93.47200469970706,93.54715143839519,93.24896494547528,93.19946517944337,93.14903678894044,93.09814542134606,93.05044275919596,3333260.0,4114160.0,5061540.0,5613040.0,5683040.0,4895880.0,5186600.0,5324860.0,5314330.0,5289940.0,4475310.0,4548755.0,5000020.0,5111685.0,5162830.0,4450043.333333333,4417896.666666667,4412606.666666667,4409906.666666667,4386570.0,3814350.0,3804388.333333334,3807320.0,3810716.666666666,3796378.333333334,0
2018-02-22,93.13858902464528,93.59669781724222,92.62322664488808,92.90953826904295,4270100,1,92.6499588012695,90.7564582824707,91.82441596984863,92.94995498657228,93.3795327504476,3710880.0,4661960.0,4444155.0,4577596.666666667,3909436.666666666,93.0527114868164,92.75685119628906,92.37509155273438,92.15560150146484,91.84064483642578,92.4361801147461,91.875,91.39971771240236,90.43197174072266,88.86295776367187,90.39951858520507,90.08266143798828,89.58829040527344,89.57779159545899,89.90609817504883,91.91746978759764,91.94037475585938,91.99429740905762,92.05346908569337,92.21094245910645,93.05080184936523,93.13510615030924,93.25885848999023,93.38801905314129,93.47200469970706,93.31274744669595,93.24896494547528,93.19946517944337,93.14903678894044,93.09814542134606,3546220.0,3333260.0,4114160.0,5061540.0,5613040.0,4614630.0,4895880.0,5186600.0,5324860.0,5314330.0,4478125.0,4475310.0,4548755.0,5000020.0,5111685.0,4534543.333333333,4450043.333333333,4417896.666666667,4412606.666666667,4409906.666666667,3852223.333333334,3814350.0,3804388.333333334,3807320.0,3810716.666666666,0
2018-02-23,93.31994026933715,94.33158794870444,93.10043538261084,94.29341888427734,2440600,1,93.07752227783205,91.75474700927734,91.78194580078123,92.87296803792316,93.46954142252605,3587520.0,4324530.0,4397425.0,4582976.666666667,3904591.666666666,92.90953826904295,93.0527114868164,92.75685119628906,92.37509155273438,92.15560150146484,92.6499588012695,92.4361801147461,91.875,91.39971771240236,90.43197174072266,90.7564582824707,90.39951858520507,90.08266143798828,89.58829040527344,89.57779159545899,91.82441596984863,91.91746978759764,91.94037475585938,91.99429740905762,92.05346908569337,92.94995498657228,93.05080184936523,93.13510615030924,93.25885848999023,93.38801905314129,93.3795327504476,93.31274744669595,93.24896494547528,93.19946517944337,93.14903678894044,3710880.0,3546220.0,3333260.0,4114160.0,5061540.0,4661960.0,4614630.0,4895880.0,5186600.0,5324860.0,4444155.0,4478125.0,4475310.0,4548755.0,5000020.0,4577596.666666667,4534543.333333333,4450043.333333333,4417896.666666667,4412606.666666667,3909436.666666666,3852223.333333334,3814350.0,3804388.333333334,3807320.0,0
