Date,Open,High,Low,Close,Volume,sgn,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60,predict
2018-02-09,29.850811682746286,30.689520602820807,29.65240982654957,30.47308158874512,2601800,0,30.482096099853514,31.38212947845459,32.06617155075073,32.603987820943196,33.77804651260376,2512020.0,2111760.0,1792455.0,1651293.333333333,1584126.666666667,29.6884765625,30.48208999633789,30.942035675048828,30.824796676635746,31.74466896057129,30.73641357421875,31.1674919128418,31.659896850585934,31.944876098632808,32.282162857055674,31.627428817749024,31.971028518676764,32.2433837890625,32.48868255615234,32.68528308868408,32.1694314956665,32.326802253723145,32.468391036987306,32.6032154083252,32.73942995071411,32.73186276753744,32.88499679565429,33.006608200073245,33.098578135172524,33.204890505472825,33.865536562601726,33.96312204996745,34.048822212219235,34.13013610839844,34.202074909210204,2347040.0,2111260.0,2044880.0,1842540.0,1711500.0,1954170.0,1793130.0,1715060.0,1640580.0,1609280.0,1736255.0,1706350.0,1652595.0,1603910.0,1564455.0,1592116.666666667,1516603.333333333,1473756.666666667,1430846.666666667,1415423.333333333,1566441.666666667,1535668.333333333,1524873.333333333,1525978.333333333,1515863.333333333,0
2018-02-12,30.56326201439826,30.6444274996275,29.67044511711248,30.418968200683594,1864200,1,30.40093040466309,31.17290325164795,31.977340602874754,32.46655762990316,33.688909180959065,2461880.0,2152210.0,1806300.0,1678710.0,1597791.666666667,30.47308158874512,29.6884765625,30.48208999633789,30.942035675048828,30.824796676635746,30.482096099853514,30.73641357421875,31.1674919128418,31.659896850585934,31.944876098632808,31.38212947845459,31.627428817749024,31.971028518676764,32.2433837890625,32.48868255615234,32.06617155075073,32.1694314956665,32.326802253723145,32.468391036987306,32.6032154083252,32.603987820943196,32.73186276753744,32.88499679565429,33.006608200073245,33.098578135172524,33.77804651260376,33.865536562601726,33.96312204996745,34.048822212219235,34.13013610839844,2512020.0,2347040.0,2111260.0,2044880.0,1842540.0,2111760.0,1954170.0,1793130.0,1715060.0,1640580.0,1792455.0,1736255.0,1706350.0,1652595.0,1603910.0,1651293.333333333,1592116.666666667,1516603.333333333,1473756.666666667,1430846.666666667,1584126.666666667,1566441.666666667,1535668.333333333,1524873.333333333,1525978.333333333,1
2018-02-13,30.310748191832854,30.788720796697927,30.23859956606825,30.662464141845703,2169500,0,30.345016098022466,31.0024564743042,31.884000873565675,32.34022541046143,33.61262515385945,2427180.0,2236030.0,1825625.0,1715530.0,1612946.666666667,30.418968200683594,30.47308158874512,29.6884765625,30.48208999633789,30.942035675048828,30.40093040466309,30.482096099853514,30.73641357421875,31.1674919128418,31.659896850585934,31.17290325164795,31.38212947845459,31.627428817749024,31.971028518676764,32.2433837890625,31.977340602874754,32.06617155075073,32.1694314956665,32.326802253723145,32.468391036987306,32.46655762990316,32.603987820943196,32.73186276753744,32.88499679565429,33.006608200073245,33.688909180959065,33.77804651260376,33.865536562601726,33.96312204996745,34.048822212219235,2461880.0,2512020.0,2347040.0,2111260.0,2044880.0,2152210.0,2111760.0,1954170.0,1793130.0,1715060.0,1806300.0,1792455.0,1736255.0,1706350.0,1652595.0,1678710.0,1651293.333333333,1592116.666666667,1516603.333333333,1473756.666666667,1597791.666666667,1584126.666666667,1566441.666666667,1535668.333333333,1524873.333333333,1
2018-02-14,30.41897011510814,30.491118746624107,30.022162962478642,30.47308158874512,1301600,1,30.343214416503905,30.75535316467285,31.780740928649898,32.2212947845459,33.53154500325521,2181440.0,2146350.0,1838900.0,1715896.666666667,1607211.666666667,30.662464141845703,30.418968200683594,30.47308158874512,29.6884765625,30.48208999633789,30.345016098022466,30.40093040466309,30.482096099853514,30.73641357421875,31.1674919128418,31.0024564743042,31.17290325164795,31.38212947845459,31.627428817749024,31.971028518676764,31.884000873565675,31.977340602874754,32.06617155075073,32.1694314956665,32.326802253723145,32.34022541046143,32.46655762990316,32.603987820943196,32.73186276753744,32.88499679565429,33.61262515385945,33.688909180959065,33.77804651260376,33.865536562601726,33.96312204996745,2427180.0,2461880.0,2512020.0,2347040.0,2111260.0,2236030.0,2152210.0,2111760.0,1954170.0,1793130.0,1825625.0,1806300.0,1792455.0,1736255.0,1706350.0,1715530.0,1678710.0,1651293.333333333,1592116.666666667,1516603.333333333,1612946.666666667,1597791.666666667,1584126.666666667,1566441.666666667,1535668.333333333,1
2018-02-15,30.626384771023154,31.068286430261804,30.518165290484504,31.023195266723643,1706300,1,30.61015815734863,30.67328586578369,31.714004802703858,32.11235307057699,33.46470174789429,1928680.0,2137860.0,1859305.0,1736410.0,1563981.666666667,30.47308158874512,30.662464141845703,30.418968200683594,30.47308158874512,29.6884765625,30.343214416503905,30.345016098022466,30.40093040466309,30.482096099853514,30.73641357421875,30.75535316467285,31.0024564743042,31.17290325164795,31.38212947845459,31.627428817749024,31.780740928649898,31.884000873565675,31.977340602874754,32.06617155075073,32.1694314956665,32.2212947845459,32.34022541046143,32.46655762990316,32.603987820943196,32.73186276753744,33.53154500325521,33.61262515385945,33.688909180959065,33.77804651260376,33.865536562601726,2181440.0,2427180.0,2461880.0,2512020.0,2347040.0,2146350.0,2236030.0,2152210.0,2111760.0,1954170.0,1838900.0,1825625.0,1806300.0,1792455.0,1736255.0,1715896.666666667,1715530.0,1678710.0,1651293.333333333,1592116.666666667,1607211.666666667,1612946.666666667,1597791.666666667,1584126.666666667,1566441.666666667,1
2018-02-16,31.095339951628013,31.420001828376673,31.005157625969034,31.21257972717285,2659100,0,30.75805778503418,30.620076942443852,31.65268001556397,32.03297894795735,33.39773540496826,1940140.0,2226080.0,1917680.0,1784996.666666667,1578203.333333333,31.023195266723643,30.47308158874512,30.662464141845703,30.418968200683594,30.47308158874512,30.61015815734863,30.343214416503905,30.345016098022466,30.40093040466309,30.482096099853514,30.67328586578369,30.75535316467285,31.0024564743042,31.17290325164795,31.38212947845459,31.714004802703858,31.780740928649898,31.884000873565675,31.977340602874754,32.06617155075073,32.11235307057699,32.2212947845459,32.34022541046143,32.46655762990316,32.603987820943196,33.46470174789429,33.53154500325521,33.61262515385945,33.688909180959065,33.77804651260376,1928680.0,2181440.0,2427180.0,2461880.0,2512020.0,2137860.0,2146350.0,2236030.0,2152210.0,2111760.0,1859305.0,1838900.0,1825625.0,1806300.0,1792455.0,1736410.0,1715896.666666667,1715530.0,1678710.0,1651293.333333333,1563981.666666667,1607211.666666667,1612946.666666667,1597791.666666667,1584126.666666667,1
2018-02-20,31.08633030667097,31.38393480257309,30.833813543822732,30.878908157348643,1794700,0,30.850045776367192,30.625488090515137,31.55708532333374,31.94397296905517,33.31984141667684,1926240.0,2194060.0,1917320.0,1800626.666666667,1576805.0,31.21257972717285,31.023195266723643,30.47308158874512,30.662464141845703,30.418968200683594,30.75805778503418,30.61015815734863,30.343214416503905,30.345016098022466,30.40093040466309,30.620076942443852,30.67328586578369,30.75535316467285,31.0024564743042,31.17290325164795,31.65268001556397,31.714004802703858,31.780740928649898,31.884000873565675,31.977340602874754,32.03297894795735,32.11235307057699,32.2212947845459,32.34022541046143,32.46655762990316,33.39773540496826,33.46470174789429,33.53154500325521,33.61262515385945,33.688909180959065,1940140.0,1928680.0,2181440.0,2427180.0,2461880.0,2226080.0,2137860.0,2146350.0,2236030.0,2152210.0,1917680.0,1859305.0,1838900.0,1825625.0,1806300.0,1784996.666666667,1736410.0,1715896.666666667,1715530.0,1678710.0,1578203.333333333,1563981.666666667,1607211.666666667,1612946.666666667,1597791.666666667,1
2018-02-21,30.86988019587893,30.951045663747873,29.904914878012253,29.959026336669922,1996500,1,30.70935821533203,30.52718715667725,31.385285472869874,31.821323076883957,33.22795763015747,1891640.0,2159410.0,1937235.0,1821533.333333333,1590503.333333333,30.878908157348643,31.21257972717285,31.023195266723643,30.47308158874512,30.662464141845703,30.850045776367192,30.75805778503418,30.61015815734863,30.343214416503905,30.345016098022466,30.625488090515137,30.620076942443852,30.67328586578369,30.75535316467285,31.0024564743042,31.55708532333374,31.65268001556397,31.714004802703858,31.780740928649898,31.884000873565675,31.94397296905517,32.03297894795735,32.11235307057699,32.2212947845459,32.34022541046143,33.31984141667684,33.39773540496826,33.46470174789429,33.53154500325521,33.61262515385945,1926240.0,1940140.0,1928680.0,2181440.0,2427180.0,2194060.0,2226080.0,2137860.0,2146350.0,2236030.0,1917320.0,1917680.0,1859305.0,1838900.0,1825625.0,1800626.666666667,1784996.666666667,1736410.0,1715896.666666667,1715530.0,1576805.0,1578203.333333333,1563981.666666667,1607211.666666667,1612946.666666667,1
2018-02-22,30.049213063217483,30.47307761754622,29.99510159663221,30.157432556152344,1295400,1,30.64622840881348,30.49472141265869,31.23287496566773,31.71610864003499,33.1392315864563,1890400.0,2035920.0,1914525.0,1816206.666666667,1605883.333333333,29.959026336669922,30.878908157348643,31.21257972717285,31.023195266723643,30.47308158874512,30.70935821533203,30.850045776367192,30.75805778503418,30.61015815734863,30.343214416503905,30.52718715667725,30.625488090515137,30.620076942443852,30.67328586578369,30.75535316467285,31.385285472869874,31.55708532333374,31.65268001556397,31.714004802703858,31.780740928649898,31.821323076883957,31.94397296905517,32.03297894795735,32.11235307057699,32.2212947845459,33.22795763015747,33.31984141667684,33.39773540496826,33.46470174789429,33.53154500325521,1891640.0,1926240.0,1940140.0,1928680.0,2181440.0,2159410.0,2194060.0,2226080.0,2137860.0,2146350.0,1937235.0,1917320.0,1917680.0,1859305.0,1838900.0,1821533.333333333,1800626.666666667,1784996.666666667,1736410.0,1715896.666666667,1590503.333333333,1576805.0,1578203.333333333,1563981.666666667,1607211.666666667,1
2018-02-23,30.32877999530261,30.80675251580645,30.18448620947682,30.788715362548828,1028000,0,30.59933242797852,30.60474529266357,31.1160870552063,31.647869427998856,33.063561026255286,1754740.0,1841710.0,1897940.0,1771406.666666667,1608435.0,30.157432556152344,29.959026336669922,30.878908157348643,31.21257972717285,31.023195266723643,30.64622840881348,30.70935821533203,30.850045776367192,30.75805778503418,30.61015815734863,30.49472141265869,30.52718715667725,30.625488090515137,30.620076942443852,30.67328586578369,31.23287496566773,31.385285472869874,31.55708532333374,31.65268001556397,31.714004802703858,31.71610864003499,31.821323076883957,31.94397296905517,32.03297894795735,32.11235307057699,33.1392315864563,33.22795763015747,33.31984141667684,33.39773540496826,33.46470174789429,1890400.0,1891640.0,1926240.0,1940140.0,1928680.0,2035920.0,2159410.0,2194060.0,2226080.0,2137860.0,1914525.0,1937235.0,1917320.0,1917680.0,1859305.0,1816206.666666667,1821533.333333333,1800626.666666667,1784996.666666667,1736410.0,1605883.333333333,1590503.333333333,1576805.0,1578203.333333333,1563981.666666667,1
