Date,Open,High,Low,Close,Volume,sgn,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60,predict
2018-02-09,38.18261420288219,39.33192211272212,36.923845745760396,39.03091430664063,5897700,1,38.604025268554686,39.44320373535156,39.95492000579834,40.67369499206543,42.74351692199707,4966480.0,4143980.0,3378815.0,2913573.333333333,2393788.333333333,38.10051727294922,38.45625686645508,38.45625686645508,38.97618103027344,39.66029357910156,38.729901123046865,39.16590881347656,39.63840255737305,40.032452392578115,40.28238220214844,39.62563362121582,39.920258331298825,40.111810302734376,40.32160453796385,40.45204200744629,40.0278923034668,40.1742925643921,40.33619937896729,40.52683868408203,40.667310142517096,40.80808486938478,40.96132621765137,41.1191281636556,41.2741938273112,41.40888786315918,42.847502072652176,42.96152083079021,43.06976267496745,43.17572422027588,43.26967576344808,4672640.0,4318380.0,4369980.0,3720000.0,3321480.0,4005310.0,3668400.0,3466710.0,3137190.0,2906010.0,3224760.0,3058860.0,2989635.0,2836625.0,2735670.0,2762320.0,2607190.0,2538290.0,2443750.0,2369606.666666666,2326756.666666666,2267551.666666666,2249221.666666666,2209331.666666666,2168475.0,0
2018-02-12,39.076515932856715,39.34104033425224,38.69341102746028,39.11300277709961,2640600,1,38.63138961791992,39.33192100524902,39.90338344573975,40.53656832377116,42.62691370646159,4571240.0,4145620.0,3340740.0,2965380.0,2383143.333333333,39.03091430664063,38.10051727294922,38.45625686645508,38.45625686645508,38.97618103027344,38.604025268554686,38.729901123046865,39.16590881347656,39.63840255737305,40.032452392578115,39.44320373535156,39.62563362121582,39.920258331298825,40.111810302734376,40.32160453796385,39.95492000579834,40.0278923034668,40.1742925643921,40.33619937896729,40.52683868408203,40.67369499206543,40.80808486938478,40.96132621765137,41.1191281636556,41.2741938273112,42.74351692199707,42.847502072652176,42.96152083079021,43.06976267496745,43.17572422027588,4966480.0,4672640.0,4318380.0,4369980.0,3720000.0,4143980.0,4005310.0,3668400.0,3466710.0,3137190.0,3378815.0,3224760.0,3058860.0,2989635.0,2836625.0,2913573.333333333,2762320.0,2607190.0,2538290.0,2443750.0,2393788.333333333,2326756.666666666,2267551.666666666,2249221.666666666,2209331.666666666,1
2018-02-13,38.96706999839215,39.41402178937938,38.638695265663095,39.2680778503418,3040500,0,38.793753814697276,39.216078186035155,39.84819850921631,40.40734736124674,42.51791172027588,4116900.0,4243440.0,3314525.0,3018976.666666666,2399903.333333333,39.11300277709961,39.03091430664063,38.10051727294922,38.45625686645508,38.45625686645508,38.63138961791992,38.604025268554686,38.729901123046865,39.16590881347656,39.63840255737305,39.33192100524902,39.44320373535156,39.62563362121582,39.920258331298825,40.111810302734376,39.90338344573975,39.95492000579834,40.0278923034668,40.1742925643921,40.33619937896729,40.53656832377116,40.67369499206543,40.80808486938478,40.96132621765137,41.1191281636556,42.62691370646159,42.74351692199707,42.847502072652176,42.96152083079021,43.06976267496745,4571240.0,4966480.0,4672640.0,4318380.0,4369980.0,4145620.0,4143980.0,4005310.0,3668400.0,3466710.0,3340740.0,3378815.0,3224760.0,3058860.0,2989635.0,2965380.0,2913573.333333333,2762320.0,2607190.0,2538290.0,2383143.333333333,2393788.333333333,2326756.666666666,2267551.666666666,2249221.666666666,1
2018-02-14,39.1494960506767,39.50523765271924,38.64781399387837,39.131256103515625,4998800,1,38.928753662109365,39.04733123779297,39.772946739196776,40.28420728047689,42.40738951365153,4428060.0,4373220.0,3468960.0,3129293.333333333,2460623.333333333,39.2680778503418,39.11300277709961,39.03091430664063,38.10051727294922,38.45625686645508,38.793753814697276,38.63138961791992,38.604025268554686,38.729901123046865,39.16590881347656,39.216078186035155,39.33192100524902,39.44320373535156,39.62563362121582,39.920258331298825,39.84819850921631,39.90338344573975,39.95492000579834,40.0278923034668,40.1742925643921,40.40734736124674,40.53656832377116,40.67369499206543,40.80808486938478,40.96132621765137,42.51791172027588,42.62691370646159,42.74351692199707,42.847502072652176,42.96152083079021,4116900.0,4571240.0,4966480.0,4672640.0,4318380.0,4243440.0,4145620.0,4143980.0,4005310.0,3668400.0,3314525.0,3340740.0,3378815.0,3224760.0,3058860.0,3018976.666666666,2965380.0,2913573.333333333,2762320.0,2607190.0,2399903.333333333,2383143.333333333,2393788.333333333,2326756.666666666,2267551.666666666,0
2018-02-15,39.43295248091826,40.2607975540923,39.25818674718546,40.23320388793945,3668700,1,39.35529098510742,39.04259605407715,39.7733154296875,40.20661608378092,42.324050585428864,4049260.0,4360950.0,3508015.0,3186980.0,2494621.666666666,39.131256103515625,39.2680778503418,39.11300277709961,39.03091430664063,38.10051727294922,38.928753662109365,38.793753814697276,38.63138961791992,38.604025268554686,38.729901123046865,39.04733123779297,39.216078186035155,39.33192100524902,39.44320373535156,39.62563362121582,39.772946739196776,39.84819850921631,39.90338344573975,39.95492000579834,40.0278923034668,40.28420728047689,40.40734736124674,40.53656832377116,40.67369499206543,40.80808486938478,42.40738951365153,42.51791172027588,42.62691370646159,42.74351692199707,42.847502072652176,4428060.0,4116900.0,4571240.0,4966480.0,4672640.0,4373220.0,4243440.0,4145620.0,4143980.0,4005310.0,3468960.0,3314525.0,3340740.0,3378815.0,3224760.0,3129293.333333333,3018976.666666666,2965380.0,2913573.333333333,2762320.0,2460623.333333333,2399903.333333333,2383143.333333333,2393788.333333333,2326756.666666666,1
2018-02-16,40.28838300153125,40.82188383071273,40.122814020672024,40.65631484985352,2956600,0,39.68037109375,39.142198181152345,39.79712009429932,40.15893948872884,42.250499979654954,3461040.0,4213760.0,3559885.0,3228366.666666666,2521295.0,40.23320388793945,39.131256103515625,39.2680778503418,39.11300277709961,39.03091430664063,39.35529098510742,38.928753662109365,38.793753814697276,38.63138961791992,38.604025268554686,39.04259605407715,39.04733123779297,39.216078186035155,39.33192100524902,39.44320373535156,39.7733154296875,39.772946739196776,39.84819850921631,39.90338344573975,39.95492000579834,40.20661608378092,40.28420728047689,40.40734736124674,40.53656832377116,40.67369499206543,42.324050585428864,42.40738951365153,42.51791172027588,42.62691370646159,42.74351692199707,4049260.0,4428060.0,4116900.0,4571240.0,4966480.0,4360950.0,4373220.0,4243440.0,4145620.0,4143980.0,3508015.0,3468960.0,3314525.0,3340740.0,3378815.0,3186980.0,3129293.333333333,3018976.666666666,2965380.0,2913573.333333333,2494621.666666666,2460623.333333333,2399903.333333333,2383143.333333333,2393788.333333333,1
2018-02-20,40.54594301885425,40.81268996616508,39.77328882402927,39.8836669921875,2315700,0,39.834503936767575,39.23294677734375,39.77727565765381,40.095541381835936,42.163007799784346,3396060.0,3983650.0,3560420.0,3218966.666666666,2535998.333333333,40.65631484985352,40.23320388793945,39.131256103515625,39.2680778503418,39.11300277709961,39.68037109375,39.35529098510742,38.928753662109365,38.793753814697276,38.63138961791992,39.142198181152345,39.04259605407715,39.04733123779297,39.216078186035155,39.33192100524902,39.79712009429932,39.7733154296875,39.772946739196776,39.84819850921631,39.90338344573975,40.15893948872884,40.20661608378092,40.28420728047689,40.40734736124674,40.53656832377116,42.250499979654954,42.324050585428864,42.40738951365153,42.51791172027588,42.62691370646159,3461040.0,4049260.0,4428060.0,4116900.0,4571240.0,4213760.0,4360950.0,4373220.0,4243440.0,4145620.0,3559885.0,3508015.0,3468960.0,3314525.0,3340740.0,3228366.666666666,3186980.0,3129293.333333333,3018976.666666666,2965380.0,2521295.0,2494621.666666666,2460623.333333333,2399903.333333333,2383143.333333333,0
2018-02-21,39.91126525212968,40.43556599731913,39.552533532669436,39.57093048095703,3739200,0,39.89507446289063,39.34441413879394,39.72811222076415,40.0056042989095,42.07151959737142,3535800.0,3826350.0,3646530.0,3268540.0,2580341.666666666,39.8836669921875,40.65631484985352,40.23320388793945,39.131256103515625,39.2680778503418,39.834503936767575,39.68037109375,39.35529098510742,38.928753662109365,38.793753814697276,39.23294677734375,39.142198181152345,39.04259605407715,39.04733123779297,39.216078186035155,39.77727565765381,39.79712009429932,39.7733154296875,39.772946739196776,39.84819850921631,40.095541381835936,40.15893948872884,40.20661608378092,40.28420728047689,40.40734736124674,42.163007799784346,42.250499979654954,42.324050585428864,42.40738951365153,42.51791172027588,3396060.0,3461040.0,4049260.0,4428060.0,4116900.0,3983650.0,4213760.0,4360950.0,4373220.0,4243440.0,3560420.0,3559885.0,3508015.0,3468960.0,3314525.0,3218966.666666666,3228366.666666666,3186980.0,3129293.333333333,3018976.666666666,2535998.333333333,2521295.0,2494621.666666666,2460623.333333333,2399903.333333333,0
2018-02-22,39.68130783810989,39.920464652024975,39.42375758514813,39.561729431152344,2335300,1,39.98116912841797,39.45496139526367,39.68760986328125,39.93451550801595,41.979269790649404,3003100.0,3715580.0,3691990.0,3277766.666666666,2612010.0,39.57093048095703,39.8836669921875,40.65631484985352,40.23320388793945,39.131256103515625,39.89507446289063,39.834503936767575,39.68037109375,39.35529098510742,38.928753662109365,39.34441413879394,39.23294677734375,39.142198181152345,39.04259605407715,39.04733123779297,39.72811222076415,39.77727565765381,39.79712009429932,39.7733154296875,39.772946739196776,40.0056042989095,40.095541381835936,40.15893948872884,40.20661608378092,40.28420728047689,42.07151959737142,42.163007799784346,42.250499979654954,42.324050585428864,42.40738951365153,3535800.0,3396060.0,3461040.0,4049260.0,4428060.0,3826350.0,3983650.0,4213760.0,4360950.0,4373220.0,3646530.0,3560420.0,3559885.0,3508015.0,3468960.0,3268540.0,3218966.666666666,3228366.666666666,3186980.0,3129293.333333333,2580341.666666666,2535998.333333333,2521295.0,2494621.666666666,2460623.333333333,0
2018-02-23,39.62611876084088,40.36197910041708,39.552530972453816,40.34358215332031,3918700,0,40.00324478149414,39.67926788330078,39.652450752258304,39.91168416341146,41.895338249206546,3053100.0,3551180.0,3778245.0,3333566.666666666,2651171.666666666,39.561729431152344,39.57093048095703,39.8836669921875,40.65631484985352,40.23320388793945,39.98116912841797,39.89507446289063,39.834503936767575,39.68037109375,39.35529098510742,39.45496139526367,39.34441413879394,39.23294677734375,39.142198181152345,39.04259605407715,39.68760986328125,39.72811222076415,39.77727565765381,39.79712009429932,39.7733154296875,39.93451550801595,40.0056042989095,40.095541381835936,40.15893948872884,40.20661608378092,41.979269790649404,42.07151959737142,42.163007799784346,42.250499979654954,42.324050585428864,3003100.0,3535800.0,3396060.0,3461040.0,4049260.0,3715580.0,3826350.0,3983650.0,4213760.0,4360950.0,3691990.0,3646530.0,3560420.0,3559885.0,3508015.0,3277766.666666666,3268540.0,3218966.666666666,3228366.666666666,3186980.0,2612010.0,2580341.666666666,2535998.333333333,2521295.0,2494621.666666666,1
